,crop,shift,rotate,fliplr,flipud,additive_Gaussian_noise,brightness,contrast,crop_rotate_brightness,shift_noise
CNN_with_dropout.h5,-0.12,-0.26,-0.09,-0.02,-0.23,-0.43,-0.02,-0.02,0.0,-0.09
CNN_without_dropout.h5,-0.19,-0.29,-0.15,0.01,-0.26,-0.4,0.0,0.0,-0.06,-0.06
ResNet_v1.h5,-0.36,-0.35,-0.33,0.0,-0.29,-0.57,0.0,0.0,-0.29,-0.33
ResNet_v2.h5,-0.28,-0.25,-0.25,0.01,-0.26,-0.65,0.0,0.0,-0.17,-0.37
lenet5_with_dropout.h5,-0.12,-0.27,-0.24,0.0,-0.22,-0.49,0.0,0.0,-0.01,-0.09
lenet5_without_dropout.h5,-0.19,-0.33,-0.25,0.0,-0.25,-0.4,0.0,-0.01,-0.08,-0.08
random1_cifar10.h5,-0.09,0.0,0.0,0.09,0.0,0.09,0.09,0.09,0.0,0.09
random2_cifar10.h5,0.0,-0.09,0.09,0.0,-0.09,0.0,0.0,0.0,0.09,0.0
