,crop,shift,rotate,fliplr,flipud,additive_Gaussian_noise,brightness,contrast,crop_rotate_brightness,shift_noise
CNN_with_dropout.h5,-0.08,-0.17,-0.06,-0.01,-0.15,-0.28,-0.01,-0.01,0.0,-0.06
CNN_without_dropout.h5,-0.14,-0.21,-0.11,0.01,-0.19,-0.29,0.0,0.0,-0.04,-0.04
ResNet_v1.h5,-0.25,-0.24,-0.23,0.0,-0.2,-0.39,0.0,0.0,-0.2,-0.23
ResNet_v2.h5,-0.2,-0.18,-0.18,0.01,-0.19,-0.47,0.0,0.0,-0.12,-0.27
lenet5_with_dropout.h5,-0.08,-0.18,-0.16,0.0,-0.15,-0.33,0.0,0.0,-0.01,-0.06
lenet5_without_dropout.h5,-0.14,-0.25,-0.19,0.0,-0.19,-0.3,0.0,-0.01,-0.06,-0.06
random1_cifar10.h5,-0.01,0.0,0.0,0.01,0.0,0.01,0.01,0.01,0.0,0.01
random2_cifar10.h5,0.0,-0.01,0.01,0.0,-0.01,0.0,0.0,0.0,0.01,0.0
