,crop,shift,rotate,fliplr,flipud,additive_Gaussian_noise,brightness,contrast,crop_rotate_brightness,shift_noise
CNN_with_dropout.h5,0.57,0.48,0.59,0.64,0.5,0.37,0.64,0.64,0.65,0.59
CNN_without_dropout.h5,0.58,0.51,0.61,0.73,0.53,0.43,0.72,0.72,0.68,0.68
ResNet_v1.h5,0.44,0.45,0.46,0.69,0.49,0.3,0.69,0.69,0.49,0.46
ResNet_v2.h5,0.52,0.54,0.54,0.73,0.53,0.25,0.72,0.72,0.6,0.45
lenet5_with_dropout.h5,0.59,0.49,0.51,0.67,0.52,0.34,0.67,0.67,0.66,0.61
lenet5_without_dropout.h5,0.61,0.5,0.56,0.75,0.56,0.45,0.75,0.74,0.69,0.69
random1_cifar10.h5,0.1,0.11,0.11,0.12,0.11,0.12,0.12,0.12,0.11,0.12
random2_cifar10.h5,0.11,0.1,0.12,0.11,0.1,0.11,0.11,0.11,0.12,0.11
