,crop,shift,rotate,fliplr,flipud,additive_Gaussian_noise,brightness,contrast,crop_rotate_brightness,shift_noise
CNN_with_dropout.h5,-0.2,-0.25,-0.09,-0.05,-0.3,-0.32,0.0,-0.02,-0.25,-0.2
CNN_without_dropout.h5,-0.35,-0.49,-0.2,-0.26,-0.41,-0.24,-0.01,-0.02,-0.38,-0.3
ResNet_v1.h5,-0.54,-0.59,-0.4,-0.22,-0.4,-0.59,-0.02,-0.03,-0.62,-0.65
ResNet_v2.h5,-0.51,-0.55,-0.35,-0.2,-0.39,-0.58,-0.03,-0.03,-0.58,-0.64
lenet5_with_dropout.h5,-0.29,-0.51,-0.24,-0.15,-0.36,-0.24,-0.02,-0.02,-0.38,-0.35
lenet5_without_dropout.h5,-0.47,-0.7,-0.39,-0.29,-0.42,-0.22,-0.01,-0.02,-0.52,-0.52
random1_cifar100.h5,-0.26,-0.32,-0.14,-0.06,-0.3,-0.5,-0.02,-0.04,-0.38,-0.36
random2_cifar100.h5,-0.09,-0.18,-0.03,-0.06,-0.29,0.0,0.0,-0.06,-0.06,-0.06
