,crop,shift,rotate,fliplr,flipud,additive_Gaussian_noise,brightness,contrast,crop_rotate_brightness,shift_noise
CNN_with_dropout.h5,-0.09,-0.11,-0.04,-0.02,-0.13,-0.14,0.0,-0.01,-0.11,-0.09
CNN_without_dropout.h5,-0.29,-0.4,-0.16,-0.21,-0.34,-0.2,-0.01,-0.02,-0.31,-0.25
ResNet_v1.h5,-0.34,-0.37,-0.25,-0.14,-0.25,-0.37,-0.01,-0.02,-0.39,-0.41
ResNet_v2.h5,-0.38,-0.41,-0.26,-0.15,-0.29,-0.43,-0.02,-0.02,-0.43,-0.47
lenet5_with_dropout.h5,-0.16,-0.28,-0.13,-0.08,-0.2,-0.13,-0.01,-0.01,-0.21,-0.19
lenet5_without_dropout.h5,-0.42,-0.63,-0.35,-0.26,-0.38,-0.2,-0.01,-0.02,-0.47,-0.47
random1_cifar100.h5,-0.13,-0.16,-0.07,-0.03,-0.15,-0.25,-0.01,-0.02,-0.19,-0.18
random2_cifar100.h5,-0.03,-0.06,-0.01,-0.02,-0.1,0.0,0.0,-0.02,-0.02,-0.02
